;T_meas [°C];T_sim [°C];T_out [°C];C_Am_rel [-];C_Im_rel [-];Sched_HG [-];Q_hg [W];Sched_op_w [-];NV_ACH [vol/h];NV_vfr [m3/h]
0;27.4383;25.9879;19.3000;0.8782;0.7160;0.8407;420.3572;0.0000;0.0000;0.0000
1;27.4667;25.9586;18.9000;0.8782;0.7160;0.8407;420.3572;0.0000;0.0000;0.0000
2;27.4867;25.9575;18.8000;0.8782;0.7160;0.8407;420.3572;0.0000;0.0000;0.0000
3;27.4733;26.1080;18.9000;0.8782;0.7160;0.8407;420.3572;0.0000;0.0000;0.0000
4;27.5050;27.3522;18.4000;0.8782;0.7160;0.8407;420.3572;0.0259;2.9003;438.5328
5;27.5217;27.4245;18.4000;0.8782;0.7160;0.8407;420.3572;0.0586;4.4656;675.1920
6;27.7642;27.7431;18.6000;0.8782;0.7160;0.8407;420.3572;0.0794;4.5301;684.9453
7;28.2767;28.4139;19.2000;0.8782;0.7160;0.8407;420.3572;0.1063;3.2717;494.6819
8;28.6367;28.7623;19.8000;0.8782;0.7160;0.8407;420.3572;0.1362;4.1944;634.2004
9;29.1025;29.2406;20.8000;0.8782;0.7160;0.8407;420.3572;0.0865;3.5715;540.0123
10;29.7625;29.8607;22.1000;0.8782;0.7160;0.8407;420.3572;0.0552;1.9617;296.6027
11;29.9633;30.1305;22.5000;0.8782;0.7160;0.8407;420.3572;0.0293;0.8451;127.7761
12;29.9367;30.0217;24.4000;0.8782;0.7160;0.8407;420.3572;0.0346;1.3863;209.6093
13;29.8450;29.8596;24.5000;0.8782;0.7160;0.8407;420.3572;0.0197;1.6937;256.0890
14;29.6992;29.6840;25.4000;0.8782;0.7160;0.8407;420.3572;0.0239;2.4907;376.5904
15;29.5483;29.0124;25.3000;0.8782;0.7160;0.8407;420.3572;0.0522;3.2134;485.8620
16;29.3992;28.7038;25.6000;0.8782;0.7160;0.8407;420.3572;0.0560;4.1505;627.5532
17;28.5308;28.3332;25.1000;0.8782;0.7160;0.8407;756.6429;0.0904;6.3164;955.0333
18;27.5950;27.5865;25.1000;0.8782;0.7160;0.8407;756.6429;0.2082;10.3170;1559.9353
19;28.3250;28.9754;24.7000;0.8782;0.7160;0.8407;756.6429;0.2261;1.9630;296.8010
20;28.3392;30.0142;25.7000;0.8782;0.7160;0.8407;756.6429;0.0001;0.0010;0.1477
21;28.1675;28.3881;24.6000;0.8782;0.7160;0.8407;756.6429;0.0822;4.3519;658.0122
22;27.9458;28.5503;23.2000;0.8782;0.7160;0.8407;420.3572;0.0486;1.1339;171.4399
23;27.8833;29.0963;22.6000;0.8782;0.7160;0.8407;420.3572;0.0000;0.0005;0.0785
0;27.9992;27.9992;21.8000;0.8893;0.7187;0.7793;389.6399;0.0263;1.1611;175.5625
1;28.0342;28.0342;20.9000;0.8893;0.7187;0.7793;389.6399;0.0192;0.6885;104.0983
2;28.0367;28.0367;20.1000;0.8893;0.7187;0.7793;389.6399;0.0763;0.4835;73.1127
3;28.0250;28.0250;19.7000;0.8893;0.7187;0.7793;389.6399;0.0149;0.5231;79.0874
4;28.0242;28.0242;19.5000;0.8893;0.7187;0.7793;389.6399;0.0355;2.5788;389.9221
5;28.0183;28.0183;20.4000;0.8893;0.7187;0.7793;389.6399;0.0231;2.2386;338.4837
6;28.0475;28.0475;20.7000;0.8893;0.7187;0.7793;389.6399;0.0126;1.2310;186.1297
7;28.1800;28.1800;21.1000;0.8893;0.7187;0.7793;389.6399;0.0142;1.5783;238.6426
8;28.2358;28.2358;21.0000;0.8893;0.7187;0.7793;389.6399;0.0424;3.5679;539.4695
9;28.0217;28.0217;20.5000;0.8893;0.7187;0.7793;389.6399;0.0877;5.1248;774.8632
10;27.0158;27.0158;21.9000;0.8893;0.7187;0.7793;389.6399;0.0799;8.2031;1240.3087
11;28.3925;28.3925;22.7000;0.8893;0.7187;0.7793;389.6399;0.0441;4.2469;642.1385
12;28.9042;28.9042;23.9000;0.8893;0.7187;0.7793;389.6399;0.1308;3.6691;554.7668
13;29.1283;29.1283;25.6000;0.8893;0.7187;0.7793;389.6399;0.1088;4.4853;678.1770
14;29.1308;29.1308;25.1000;0.8893;0.7187;0.7793;389.6399;0.0439;3.7479;566.6845
15;29.0167;29.0167;27.0000;0.8893;0.7187;0.7793;389.6399;0.0542;7.9827;1206.9843
16;28.9250;28.9250;26.7000;0.8893;0.7187;0.7793;389.6399;0.0386;6.7257;1016.9253
17;28.8392;28.8391;27.6000;0.8893;0.7187;0.7793;701.3518;0.0905;15.5899;2357.1894
18;28.7725;28.7725;26.6000;0.8893;0.7187;0.7793;701.3518;0.0407;7.9991;1209.4578
19;28.0975;28.0975;25.0000;0.8893;0.7187;0.7793;701.3518;0.0321;6.4678;977.9292
20;27.3758;27.3758;23.3000;0.8893;0.7187;0.7793;701.3518;0.0282;5.7836;874.4740
21;27.1508;27.1508;22.6000;0.8893;0.7187;0.7793;701.3518;0.0265;5.1573;779.7855
22;27.2125;27.2125;21.3000;0.8893;0.7187;0.7793;389.6399;0.0136;2.5854;390.9058
23;27.4567;27.4567;20.4000;0.8893;0.7187;0.7793;389.6399;0.0089;1.5812;239.0761
