,id,name,wall_u_value,roof_u_value,floor_u_value,window_u_value,window_shgc
Before 1930,0,Before 1930,2.581774830489531,2.525526210712452,2.0343114192273206,5.7,0.82
1930-1945,1,1930-1945,1.3486229158862135,2.525526210712452,2.0343114192273206,5.7,0.82
1945-1960,2,1945-1960,1.0549791820486083,1.344001665441857,2.0343114192273206,4.9,0.82
1961-1970,3,1961-1970,0.9842050869714364,1.344001665441857,2.0343114192273206,4.9,0.82
1971-1980,4,1971-1980,0.9842050869714364,1.344001665441857,2.0343114192273206,3.7,0.7
1981-1990,5,1981-1990,0.6710921952849237,0.8148883508409389,2.0343114192273206,3.7,0.7
1991-2000,6,1991-2000,0.6035823001450166,0.7874870609182653,1.2884287623195543,3.4,0.7
2000-2005,7,2000-2005,0.5439389658095507,0.5163878788906534,0.878559328207422,3.4,0.7
2005-2010,8,2005-2010,0.3007302683572842,0.3281227536101128,0.3343119187402196,2.2,0.27
After 2010,9,After 2010,0.22541052612244147,0.3281227536101128,0.3343119187402196,2.0,0.27
